-DOCSTART- -X- O
ยกเลิก -X- _ B-Service_Neg
order -X- _ I-Service_Neg
ไม่บอกลูกค้า -X- _ I-Service_Neg
ต้องโทรตามเอง -X- _ O
ไม่รับผิดชอบเลยนะคะ -X- _ B-Service_Neg
พอโทรไปถามบอกว่า -X- _ O
พนักงานไม่รู้ทาง -X- _ O
พื้นที่ที่ส่งนอกเขตพื้นที่ให้บริการ -X- _ B-Location_Neg
แล้วทำไมไม่บอกตั้งแต่โทรไปสั่งคะ -X- _ B-Impressed_Neg
และบอกว่าส่งทั่วกรุงเทพฯ -X- _ I-Impressed_Neg
พระราม -X- _ I-Impressed_Neg
9 -X- _ I-Impressed_Neg
นี่ไกลมากเลยนะคะ -X- _ I-Impressed_Neg
แย่มากๆคะ -X- _ I-Impressed_Neg

สั่งพายบลูเบอร์รี่กลับบ้านได้พายเผือกแทน -X- _ B-Service_Neg

สั่งพายเผือกข้าวเหนียวดำ -X- _ B-Service_Neg
... -X- _ I-Service_Neg
. -X- _ I-Service_Neg
ได้พายไก่ -X- _ I-Service_Neg
... -X- _ I-Service_Neg
ประเด็นคือ -X- _ O
... -X- _ O
ข้าพเจ้าทานมังสวิรัติ -X- _ O

ความสะอาดร้านก็ไม่สะอาดค่ะ -X- _ B-Clean_Neg
โต๊ะเปรอะเปื้อนไม่มีคนทำความสะอาดค่ะ -X- _ B-Clean_Neg
รบกวนปรับปรุงค่ะ -X- _ O

สาขา -X- _ O
the -X- _ O
bright -X- _ O
พระราม -X- _ O
2 -X- _ O
ไปมาหลายครั้ง -X- _ O
อยากบอกว่าสกปรก -X- _ B-Clean_Neg
โต๊ะก็ไม่เช็ด -X- _ B-Impressed_Neg
พื้นก็เปียกน้ำ -X- _ I-Impressed_Neg

สาขา -X- _ O
The -X- _ O
Bright -X- _ O
พระราม -X- _ O
2 -X- _ O
สั่งแต่ละครั้งใช้เวลานานมาก -X- _ O
เห็นมีพนง.หลายคน -X- _ O
แต่เปิด -X- _ O
counter -X- _ O
จ่ายเงินช่องเดียว -X- _ O
ที่เหลือคุยบ้าง -X- _ O
เดินเข้าออกบ้าง -X- _ O
แล้วเวลาอยากจะกวาดพื้นก็กวาด -X- _ O
ลูกค้านั่งทานอยู่ -X- _ O
เห็นแล้วอิ่มเลย -X- _ O
รู้สึกการเป็น -X- _ O
Burger -X- _ O
King -X- _ O
แบบมืออาชีพที่สาขานี้ไม่มีเลย -X- _ O
การจัดการแย่มากค่ะ -X- _ B-Service_Neg
ไป -X- _ O
3 -X- _ O
ครั้ง -X- _ O
เสียเวลาและเสียความรู้สึกกับสาขานี้ซึ่งอยู่ใกล้บ้านมากกว่าสาขาอื่น -X- _ B-Impressed_Neg
บางครั้งอยากกิน -X- _ O
แต่ถ้าไปแล้วต้องทำใจ -X- _ O
เลยจำใจไปกิน -X- _ O
burger -X- _ O
ยี่ห้ออื่นซึ่งไม่ไกลกัน -X- _ O
แม้จะไม่อร่อยเท่าที่นี่ -X- _ O
แต่ก็ไม่เสียเวลาและความรู้สึกค่ะ -X- _ O
จากใจจริงๆ -X- _ O
อยากให้ปรับปรุงการบริหารจัดการที่สาขานี้มากๆค่ะ -X- _ O
เพราะชอบทาน -X- _ O
burger -X- _ O
king -X- _ O
มากค่ะ -X- _ O
อยากไปเป็นลูกค้าบ่อยๆค่ะปล. -X- _ O
พนง.ไม่รับทราบว่ามีโปรโมชั่น -X- _ O
บอกว่าหมดอายุไปแล้ว -X- _ O
ทั้งๆที่ยังอยู่ในช่วงโปรค่ะ -X- _ O
โชว์รูปจากมือถือไม่รับค่ะ -X- _ O

สาขา -X- _ O
ทองหล่อ -X- _ O
พนักงานตอนเช้าไม่พร้อมจะทำงานหน้าบูดใส่ลูกค้า -X- _ B-Service_Neg
พูดจาไม่ดีเลยก็อย่ามาทำ -X- _ B-Impressed_Neg
เจองี้ไม่โอเลยยยย -X- _ I-Impressed_Neg

สาขาเดอะไบร์ท -X- _ O
พระราม -X- _ O
2 -X- _ O
ไม่สนใจลูกค้า -X- _ B-Service_Neg
ยืนคุยกันเอง -X- _ B-Service_Neg
รอสินค้าเกินครึ่งชั่วโมง -X- _ B-Service_Neg
พอสินค้ามาก้อไม่เรียก -X- _ O
ต้องให้เดินไปตาม -X- _ B-Impressed_Neg
ปรากฎว่า -X- _ I-Impressed_Neg
สินค้ามาตั้งนานแล้วแต่อยู่หลังเคาเตอร์ -X- _ I-Impressed_Neg
ห่วยมากค่ะ -X- _ I-Impressed_Neg
ควรปรับปรุง -X- _ O

สาขาเดอะไบรพระราม2 -X- _ O
ควรปรับปรุงไม่ให้มียุงและแมลงวันนะคะ -X- _ B-Clean_Neg
วันนี้ไปกินมายุงกัดถ้าเป็นไข้เลือดออกไม่คุ้มเลยนะคะ -X- _ O

สาขาที่เมกาบางนาแย่มากค่ะพนักงาน -X- _ B-Service_Neg
ไม่เช็ดโต๊ะทำความสะอาดร้าน -X- _ B-Clean_Neg
แถมมีแมงสาปออกมาวิ่งเล่นบนโต๊ะด้วยค่ะ -X- _ B-Clean_Neg
ขอเติมน้ำเปล่าก็ทำท่าทางไม่พอใจจะให้บริการ -X- _ B-Impressed_Neg
ถ้าเป็นแบบนี้อย่ามีบริการเลยค่ะ -X- _ I-Impressed_Neg
จะได้รู้ว่าจะต้องซื้อ -X- _ I-Impressed_Neg
ถ้ามีบริการแล้วไม่ได้เต็มใจให้บริการก็ขายเลยค่ะ -X- _ B-Impressed_Neg
อีกอย่างที่ร้านไม่มีการเทรนมารยาทพนักงานก่อนทำงานเหรอคะ -X- _ B-Impressed_Neg

สาขาในปั๊มเชลล์ถนนกาญจนาภิเษก -X- _ O
บริการแย่มาก -X- _ B-Service_Neg
ไม่สนใจลูกค้า -X- _ B-Service_Neg
ไม่เคยเช็คสินค้าว่าครบตามที่สั่งหรือไม่ -X- _ B-Service_Neg
ลูกค้าไม่ได้มากมายเลยแต่ของได้ไม่ครบ -X- _ B-Service_Neg
ของที่ได้คุณภาพก้อไม่เคยคงที่ -X- _ B-Quality_Neg
ควรใส่ใจลูกค้าและการบริการมากกว่านี้มั๊ยคะ -X- _ B-Recommend_Neg
ขอบคุณค่ะ -X- _ O

สาขาบางกะปิ -X- _ O
เมื่อวานสั่งพายเผือกและพายไก่ -X- _ B-Service_Neg
แต่กลับได้พายเผือกสองชิ้นซะงั้น -X- _ O
: -X- _ O
( -X- _ O
ที่เพิ่งรู้เพราะเพิ่งอุ่นอีกชิ้นกินเช้านี้ -X- _ O
: -X- _ O
( -X- _ O
อย่างนี้ก็โดนคิดเงินเกินล่ะสิ -X- _ O

สาขาปั๊ม -X- _ O
Esso -X- _ O
ก่อนเข้าปากซอยเมืองเอก -X- _ O
ผู้จัดการสาขาแย่มากถึงมากที่สุด -X- _ B-Service_Neg
มีลุงคนขับแท็กซี่คนนึงเข้ามาสั่งเบอร์เกอร์ -X- _ O
ดูท่าทางการสั่งของลุงแล้วดูก็รู้ว่าลุงไม่เคยสั่ง -X- _ O
ลุงก็งงกับรายการอาหารก็สอบถามตามคนที่ไม่รู้ว่ามันแตกต่างกันยังไงและถามหลายรอบ -X- _ O
แต่ผู้จัดการชักสีหน้า -X- _ B-Service_Neg
บอกแบบเสียงดังจนลูกค้าคนอื่นที่นั่งทานอยู่หันมามอง -X- _ I-Service_Neg
ลุงออกไปหยิบเงินในรถ -X- _ O
ผู้จัดการก็พูดว่า -X- _ O
" -X- _ O
แม่งเอ้ย -X- _ O
พูดไม่รู้เรื่อง -X- _ O
" -X- _ O
คุณทำงานบริการนะคะ -X- _ O
เป็นถึงผู้จัดการสาขา -X- _ O
ทำกิริยามารยาทแบบนี้มันเหมาะสมแล้วหรอคะ -X- _ O
? -X- _ O
ควรมีใจรักบริการตามไปด้วยนะคะ -X- _ O
นอกจากหน้าตาจะไม่ยิ้มแย้มแล้วยังดึงหน้าใส่และพูดด้วยน้ำเสียงไม่ดีอีก -X- _ B-Service_Neg
เขาถามเพราะไม่รู้ถ้ารู้ก็คงไม่ถาม -X- _ O
เป็นแบบนี้ไม่สมควรทำงานบริการค่ะ -X- _ O

ใส่เสื้อยืด -X- _ O
กางเกงขาสั้น -X- _ O
เข้าไปตอนตี3กว่าๆ -X- _ O
พนักงานมองน่าแบบ -X- _ O
! -X- _ O
! -X- _ O
! -X- _ O
เออไม่รับอะ -X- _ O
ไม่รวย -X- _ O
โธ่ตี3ใครจะแต่งน่าเข้าไปวะ -X- _ O
กุแค่หิว -X- _ O
ตื่นมาก้ออกมาหารัยกิน -X- _ O
แต่ไม่ยอมรับออเดอร์ -X- _ B-Service_Neg
ทำไม -X- _ O
กลัวไม่มีเงินจ่ายหรอ -X- _ O
? -X- _ O
# -X- _ O
เดอะสรีท -X- _ O

หาที่ทานยากมากเลยอยู่ปทุมไปที่ไหนไกล้ที่สุด -X- _ B-Location_Neg

อยากให้ฝ่ายฝึกอบรมพนักงาน -X- _ O
ไปเรียนงานกับที่ -X- _ O
McDonalds -X- _ O
ที่สามารถทำให้พนักงานทุกคนทุกสาขาบริการดีได้มาตรฐานเดียวกันหมด -X- _ B-Service_Pos
ในขณะที่พนักงาน -X- _ O
Burger -X- _ O
King -X- _ O
บริการแย่มาก -X- _ B-Service_Neg
โดยเฉพาะสาขา -X- _ O
Market -X- _ O
Place -X- _ O
Thong -X- _ O
Lo -X- _ O
พนักงานไม่มี -X- _ B-Service_Neg
service -X- _ I-Service_Neg
mind -X- _ I-Service_Neg
เลย -X- _ I-Service_Neg
พูดจาไม่ดีกับลูกค้า -X- _ B-Service_Neg
ขี้เกียจตอบคำถามลูกค้า -X- _ O
รวมทั้งแสดงหน้าตาไม่เหมาะที่จะทำงานในส่วน -X- _ O
front -X- _ O
line -X- _ O
อย่างยิ่ง -X- _ O
มาซื้อกับที่สาขานี้มานานหลายปี -X- _ O
และหลายช่วงเวลา -X- _ O
เจอบริการแย่จากพนักงานทุกครั้ง -X- _ B-Service_Neg
ไม่มีพัฒนาการเลย -X- _ O

คุ้มมาก -X- _ B-Value_Pos

ฟิซซ่าอร่อยมากครับ -X- _ B-Food_Pos

สำหรับสาขา -X- _ O
ที่ไปทาน -X- _ O
พนักงานบริการน่ารักมาก -X- _ B-Service_Pos
ครั้งต่อไป -X- _ B-Impressed_Pos
บริการแบบนี้อีกนะ -X- _ I-Impressed_Pos

วันนี้ไปทานที่สาขาเซ็นทรัลแจ้งวัฒนะ -X- _ O
น้องพนักงานบริการดี -X- _ B-Service_Pos
อาหารรสชาติใช้ได้ -X- _ B-Food_Neu

โดยรวมถือว่าโอเคค่ะ -X- _ B-Food_Pos

วันนี้ไปกินพิชซ่าที่เซ็นทรัลสาขารัตนาธิเบตรมาครับ -X- _ O
พิชซ่าอร่อยเหมือนเดิมหลังจากที่ไม่ไปได้ไปนาน -X- _ B-Food_Pos
พวกหัวหน้ากับพนักงานก็เป็นกันเอง -X- _ B-Service_Pos

อร่อย -X- _ B-Food_Pos
ไม่แพ้ร้านอิตาเลี่ยนร้านอื่น -X- _ B-Recommend_Pos

ยอดเยี่ยมมาก -X- _ B-Food_Pos

อาหารอร่อยรสชาดดี -X- _ B-Food_Pos

อาหารอร่อย -X- _ B-Food_Pos
พิซซ่าเครื่องเยอะ -X- _ B-Value_Pos
คุณภาพอาหารดีค่ะ -X- _ B-Quality_Pos
พนักงานน่ารักมากๆเลย -X- _ B-Service_Pos

อาหารอร่อยมากๆ -X- _ B-Food_Pos
ทุกเมนู -X- _ O
ไม่เคยผิดหวังเลยคะ -X- _ B-Impressed_Pos

อาหารอร่อย -X- _ B-Food_Pos
คุ้มค่ากับราคา -X- _ B-Value_Pos
บรรยากาศดี -X- _ B-Good_View
พนักงานก็เอาใจใส่ดี -X- _ B-Service_Pos
มีโอกาสจะไปอีกค่ะ -X- _ B-Recommend_Pos

ไปทานมาเมื่อเย็น -X- _ O
อาหารอร่อยมากๆเลยค่ะ -X- _ B-Food_Pos

ประทับ -X- _ B-Impressed_Pos
ใจทุกครั้งที่มา -X- _ I-Impressed_Pos
บริการดีมาก -X- _ B-Service_Pos

อาหารรสชาดดีครับ -X- _ B-Food_Pos
บรรยากาศร้านนั่งสบายๆ -X- _ B-Good_View

อาหร่อย -X- _ B-Food_Pos
สดคุ้มราคา -X- _ B-Quality_Pos
มากกกก -X- _ B-Value_Pos

หลังจากคุณภาพตกไปพักนึง -X- _ O
ช่วงนี้กลับมาอร่อยเหมือนเดิมแล้ว -X- _ B-Impressed_Pos

ไปทานมา -X- _ O
2 -X- _ O
ครั้ง -X- _ O
ครั้งแรกไม่ค่อยประทับใจเท่าไหร่ -X- _ B-Impressed_Neg
เรื่องอาหารล่าช้า -X- _ B-Service_Neg
สั่งได้ไม่เต็มที่ -X- _ I-Service_Neg
แต่พอครั้ง -X- _ B-Service_Pos
ที่ -X- _ I-Service_Pos
2 -X- _ I-Service_Pos
ทางร้านได้ปรับปรุงด้านบริการดีขึ้นมากค่ะ -X- _ I-Service_Pos

ชอบมากค่ะ -X- _ B-Impressed_Pos
อาหารอร่อย -X- _ B-Food_Pos

รสชาติอร่อย -X- _ B-Food_Pos
ราคาประหยัด -X- _ B-Price_Pos

อร่อยมาก -X- _ B-Food_Pos
เร็วดี -X- _ B-Service_Pos
บริการดี -X- _ I-Service_Pos

อร่อยดีครับคุ้มค่ากับราคาที่จ่าย -X- _ B-Food_Pos

ไปชิมกันเยอะๆนะค่ะ -X- _ B-Recommend_Pos

อาหารอร่อยมากๆค่ะขอบอก -X- _ B-Food_Pos
รับลองจะติดใจ -X- _ B-Recommend_Pos

มันเป็นศิลปะ -X- _ O
! -X- _ O
..อร่อยและถูก.ผมให้ผ่านครับ -X- _ B-Food_Pos

ของมีคุณภาพ -X- _ B-Value_Pos
อร่อย -X- _ B-Food_Pos
และสมกับราคามากคะ -X- _ B-Value_Pos

อาหารแค่มองเห็นปุบก็หิวเลยครับ -X- _ B-Recommend_Pos

อาหารอร่อยคะทานบ่อยมากถ้ามีโอกาศจะมาอีกคะ -X- _ B-Food_Pos

สุดยอดครับ -X- _ B-Impressed_Pos
อาหารคุณภาพดีจริง -X- _ B-Quality_Pos

อยากไปนะต้องหาเพื่อนไปหลายๆคนถึงจะอร่อยนะ -X- _ B-Impressed_Neu

น่ากินฟุดๆ.หิววววเลยยย -X- _ B-Impressed_Pos
ต้องไปลองชิมสักหน่อย -X- _ I-Impressed_Pos

ไม่มีอะไรไม่ทำให้เรารูสึกไม่ -X- _ B-Impressed_Pos
ชอบเลยละ้ -X- _ I-Impressed_Pos
เต็มๆเลย -X- _ I-Impressed_Pos
ชอบครับ -X- _ I-Impressed_Pos
. -X- _ I-Impressed_Pos

ช่วงโปรฯ -X- _ O
คุณภาพเกินราคาคะ -X- _ B-Value_Pos

อร่อยมาก -X- _ B-Food_Pos
ราคาโอเครเลยค่ะ -X- _ B-Price_Neu

อาหารอร่อยมากคะ -X- _ B-Food_Pos

คุณภาพและการบริการระดับ -X- _ B-Quality_Pos
5 -X- _ I-Quality_Pos
ดาว -X- _ I-Quality_Pos

อาหารอร่อยมากๆ -X- _ B-Food_Pos
ค่ะ -X- _ I-Food_Pos

อาหารอร่อยมากคะ -X- _ B-Food_Pos

อาหารอร่อยคะทานบ่อยมากถ้ามีโอกาศจะมาอีกคะ -X- _ B-Food_Pos

เซ็นทรัลบางนา -X- _ O
อาหารอร่อย -X- _ B-Food_Pos
ค่อยเติมตลอด -X- _ O
พนักงานบริการดี๊ดี -X- _ B-Service_Pos
น่ารักขยันยิ้มแย้มทุกคนเลย -X- _ I-Service_Pos
อะไรก็ตามจะดีได้ก็ต้องร่วมมือกันทุกคน -X- _ O
เลิศจ้า -X- _ B-Impressed_Pos
เดี๋ยวไปกินอีกนะ -X- _ I-Impressed_Pos

เมื่อวานไปสาขา -X- _ O
sq1 -X- _ O
มาคะ -X- _ O
โดยรวมๆแล้วประดับใจคะเกินความคาดหวังเพราะเห็นรีวิวไม่เยอะ -X- _ B-Impressed_Pos
แต่พอได้ลองเข้าไปใช้บริการด้วยตัวเอง -X- _ O
กับรู้สึกว่าโอเคมากเลยคะ -X- _ B-Impressed_Pos
อาจจะมีบางที่อาหารตรงสลัดบาร์หมด -X- _ O
ซุปหมด -X- _ O
แต่ก็ไม่เป็นไรคะ -X- _ O
เพราะเข้าใจว่า -X- _ O
ลูกค้าเยอะพนักงานก็ทำงานไม่ทัน -X- _ O
แต่น่าจะรับสมัครพนักงานมายิ่งขึ้นคะ -X- _ O
เพราะพื้นที่เยอะคนก็เยอะ -X- _ O
พนักงานไม่เพียงพอต่อความต้องการของลูกค้า -X- _ O
แต่รวมๆแล้วโอเคเลยคะ -X- _ O

สาขาซีคอนสแควร์ -X- _ O
บริการดีมากค่ะ -X- _ B-Service_Pos
พนักงานน่ารักทุกคน -X- _ B-Service_Pos
แก้วโค้กรีฟิวไม่เคยว่าง -X- _ O
เติมตลอด -X- _ O
เป็นสาขาที่บริการดีที่สุด. -X- _ B-Service_Pos
เท่าที่เคยไปหลายๆสาขา -X- _ O
ยกนิ้วให้เลยค่ะ -X- _ B-Impressed_Pos

สาขาเดอะมอลบางแค -X- _ O
ไปทุกครั้งดีทุกครั้งค่ะ -X- _ B-Service_Pos
ขอให้รักษามาตรฐานไว้ -X- _ B-Impressed_Pos
ลูกค้าไม่หายแน่นอนค่ะ -X- _ I-Impressed_Pos
แต่ก็เห็นแน่นตลอดน๊า -X- _ I-Impressed_Pos

พนักงานสาขาแหลมทอง -X- _ O
ระยอง -X- _ O
บริการดีมาก -X- _ B-Service_Pos
สุภาพมาก -X- _ B-Service_Pos
ไปทานกับแฟนทุกเดือน -X- _ O
ทานคนเดียวก็บ่อย -X- _ O
เจอพนักงานยิ้มแย้มทุกครั้ง -X- _ B-Service_Pos
ขอชมเชยนะค่ะ -X- _ B-Impressed_Pos
อยากให้คำชมไปถึงน้องๆ -X- _ I-Impressed_Pos
ค่ะ -X- _ I-Impressed_Pos

สาขาฟิวเจอร์พาร์ครังสิต -X- _ O
มาทานบ่อยๆ -X- _ O
ประทับใจทุกครั้ง -X- _ B-Service_Pos
พนักงานบริการดีครับ -X- _ B-Service_Pos
โดยเฉพาะน้องที่เป็นทอมตัวเล็กๆ -X- _ O
( -X- _ O
ขออภัยไม่ทราบชื่อจริงๆครับ -X- _ O
) -X- _ O
พูดจาไพเราะทุกครั้งที่คุยกับลูกค้า -X- _ B-Service_Pos
อาหารอร่อยด้วยครับ -X- _ B-Food_Pos

ขอชื่นชมการบริการของสาขา -X- _ O
Zpell -X- _ O
รังสิตค่ะ -X- _ O
พนักงานยิ้มแย้ม -X- _ B-Service_Pos
และใส่ใจลูกค้ามาก -X- _ I-Service_Pos

บรรยากาศดี -X- _ B-Good_View
บริการประทับใจ -X- _ B-Service_Pos
ที่สาขา -X- _ O
เซ็นทรัลชลบุรี -X- _ O
ครับ -X- _ O
ชอบๆ -X- _ O

สาขาเดอะมอลล์ท่าพระ -X- _ O
น่ารักมากกกกกก -X- _ O
# -X- _ O
พนักงานยิ้มแย้มทุกคนเลยค่ะ -X- _ B-Service_Pos

สาขาเซนทรัลภูเก็ต -X- _ O
พนักงานน่ารักมากกกก -X- _ B-Service_Pos
ทุกคนเลย -X- _ O
ไปทานคนเดียว -X- _ O
รู้สึกอบอุ่นมากๆค่ะ -X- _ B-Impressed_Pos
พนักงานให้เกียรติลูกค้ามาก -X- _ I-Impressed_Pos
ถ้าเดินสวนกัน -X- _ O
พนักงานจะหยุดแล้วให้ลูกค้าเดินก่อน -X- _ O
ด้วยสีหน้ายิ้มแย้ม -X- _ O
ดีมากๆ -X- _ O
เรานั่งสังเกตุตอนนั่งทาน -X- _ O
ไม่นึกว่าจะเก็บรายละเอียดดีขนาดนี้ -X- _ O
น่ารักมาค่ะ -X- _ B-Service_Pos
น่ากลับไปทานอีก -X- _ B-Recommend_Pos
ไปคนเดียวก็ยังรู้สึกอบอุ่นค่ะ -X- _ O

เป็นที่ชื่นชอบสำหรับเด็กๆบ้านนี้ -X- _ O
ที่sizzlerสาขาซีคอน -X- _ O
ศรีนครินทร์ -X- _ O
บริการดี -X- _ B-Service_Pos
ไปทีไรไม่เคยผิดหวัง -X- _ O
ส่วนตัวชอบซุบ -X- _ O
กับชีสโทสมว๊ากกก -X- _ O

ใช้สิทธิทานฟรีเดือนเกิดมาค่ะ -X- _ O
อร่อยมาก -X- _ B-Food_Pos
พนักงานดูแลดีค่ะ -X- _ B-Service_Pos
ไม่ได้มีความรู้สึกว่าเรามาทานฟรี -X- _ O
ผักสลัดและผลไม้สดดีค่ะ -X- _ B-Quality_Pos
โดยรวมดีมากๆค่ะ -X- _ B-Impressed_Pos

วันนี้ไปทานมาที่สาขาThe -X- _ O
riverside -X- _ O
ตรงเจริญนครบริการดีมากๆๆๆ -X- _ B-Service_Pos
ชื่นชมจริงๆ -X- _ B-Impressed_Pos
เอาใจใส่ลูกค้า -X- _ I-Impressed_Pos
ยิ้มแย้มไม่ได้ทำแค่โต๊ะเดียวแต่ทำกับลูกค้าทุกๆโต๊ะในการรับอาหารแนะนำโปรโมชั่นให้ลูกค้าที่มาเป็นครอบครัวได้ดี -X- _ I-Impressed_Pos
และสลัดบาร์ทุกอย่างสะอาด -X- _ B-Clean_Pos
มีการเติมตลอดเวลา -X- _ O
พอใจมากๆค่ะสงสัยต้องไปทานบ่อยๆซะแล้ว -X- _ B-Impressed_Pos

ชอบค่ะ -X- _ O
สลัดบาร์มีหลากหลายมากกกก -X- _ B-Various_Pos
ผักหลากหลายชนิดจากโครงการหลวง -X- _ B-Impressed_Pos
มั่นใจได้ว่าสดสะอาด -X- _ B-Quality_Pos
น้ำสลัดก็มีหลากหลายชนิดรสชาดยอดเยี่ยม -X- _ B-Various_Pos
ซุปก็อร่อยมีซุปเห็ด -X- _ O
ซุปต้มยำ -X- _ O
ซุปเยื่อไผ่ -X- _ O
ซุปทูน่า -X- _ O
ค่ะ -X- _ O
ชอบค่ะ -X- _ O

ผมชอบอาหารสไตล์นี้มากครับ -X- _ B-Impressed_Pos
เป็นคนชอบลิ้มลองรสชาติอาหารทั่วๆไป -X- _ O
และแปลกใหม่ๆครับ -X- _ O

ชอบกินสลัดกับซุปเห็ดมากๆ -X- _ B-Impressed_Pos
ตอนตั้งครรภ์สามีพาไปกินเดือนละครั้งเลย -X- _ O

พาลูกสาวมาทานที่เซ็นทรัลพระรามสอง -X- _ O
ชอบมาก -X- _ B-Impressed_Pos
และขอขอบคุณพี่พนักงานผู้หญิงนะครับ -X- _ O
ดูจากป้ายชื่อ -X- _ O
พี่สมบูรณ์ -X- _ O
บริการด้วยรอยยิ้มตลอด -X- _ B-Service_Pos
ขอบคุณครับ -X- _ I-Service_Pos

สาขาเซนทรัลพระราม2พนักงานน่ารัก -X- _ B-Service_Pos
บริการดี -X- _ B-Service_Pos
สลัดบาร์เติมของตลอด -X- _ O
ฟินมากประทับจาย*-* -X- _ B-Impressed_Pos

เรารักซิทเลอร์ -X- _ O
มากมายๆ -X- _ O
อร่อยคุ้ม -X- _ B-Food_Pos
และบริการดีจุงจิง -X- _ B-Service_Pos

วันนี้มากินที่ -X- _ O
Sizzler -X- _ O
สาขา -X- _ O
สยามเซ็นเตอร์ -X- _ O
ตอน -X- _ O
21.45 -X- _ O
Chocolate -X- _ O
Moouse -X- _ O
หมด -X- _ O
ไปขอผู้จัดการร้าน -X- _ O
อุส่าห์ไปทำใหม่ในครัวมาให้ -X- _ O
บริการดีมากๆครับ -X- _ B-Service_Pos

ประทับทุกครั้งที่มา -X- _ B-Impressed_Pos
ผักสด -X- _ B-Clean_Pos
ชุปมีประโยชน์ -X- _ B-Quality_Pos

เพิ่งไปกินกับลูกชาย -X- _ O
สเต็กหมูเนื้อนุ่ม -X- _ B-Food_Pos
อร่อย -X- _ I-Food_Pos
สลัดมีให้เลือกเยอะมากกกก -X- _ B-Various_Pos

บรรยากาศดี -X- _ B-Good_View
อาหารสด -X- _ B-Quality_Pos
สะอาด -X- _ B-Clean_Pos
บริการเยี่ยม -X- _ B-Service_Pos
ถูกใจครับ -X- _ B-Impressed_Pos

สลัดบาร์หลากหลาย -X- _ B-Various_Pos
สะอาด -X- _ B-Clean_Pos
อร่อย -X- _ B-Food_Pos
มีโปรบ่อยเลิฟ -X- _ O
เลิฟค้าาา -X- _ B-Impressed_Pos
... -X- _ I-Impressed_Pos
☆* -X- _ O
: -X- _ O
.｡. -X- _ O
o -X- _ O
( -X- _ O
≧▽≦ -X- _ O
) -X- _ O
o -X- _ O
.｡. -X- _ O
: -X- _ O
*☆ -X- _ O

บรรยากาศดีค่ะ -X- _ B-Good_View
อาหารอร่อย -X- _ B-Food_Pos
สะอาด -X- _ B-Clean_Pos
โปรโมชั่นก็คุ้มสุดๆ -X- _ B-Value_Pos
แวะมาทานกันเยอะๆนะค้าา -X- _ B-Recommend_Pos

วันอาทิตย์ -X- _ O
5.2.2560ไปทานที่เซ็นทรัลเวสเกตบริการดี -X- _ B-Service_Pos
ลูกค้าเยอะมาก -X- _ O

เพิ่งทานเสร็จเมื่อกี้เลยค่ะ -X- _ O
ที่สาขาพระรามสอง -X- _ O
พนักงานผู้หญิงวัยรุ่นที่หน้าตาดีดีหน่อย -X- _ O
ขาวขาวหมวยหมวยๆ -X- _ O
นิด -X- _ O
บริการดีมากเลยค่ะ -X- _ B-Service_Pos
ถามอะไรเยอะแยะเรียกบ่อยบ่อยก็ไม่ว่า -X- _ O
ขอบคุณที่บริการมากๆเลยนะคะ -X- _ B-Impressed_Pos
และขอโทษที่รบกวนเยอะไปหน่อยค่า -X- _ I-Impressed_Pos

อร่อยนะค่ะ -X- _ B-Food_Pos
ชอบสลัดบาร์ม๊วกๆ -X- _ O
ไปทานที่เซ็นทรัลชลบุรี -X- _ O
พนง -X- _ O
ผู้ชายท่านนึง -X- _ O
สนใจลูกค้ามากๆกระตือรือร้น -X- _ B-Service_Pos
โดดเด่นกว่าท่านอื่นๆ -X- _ O
ฝากชมเรื่องการบริการจากใจ -X- _ B-Impressed_Pos
หวังว่า -X- _ I-Impressed_Pos
คราวหน้าคงได้รับการบริการที่ดีแบบนี้เรื่อยไปนะค่ะ -X- _ I-Impressed_Pos

อร่อย -X- _ B-Food_Pos
ทรงคุณค่า -X- _ B-Impressed_Pos

บริการดีทุกสาขาครับ -X- _ B-Service_Pos
โดยส่วนตัวเราพูดจาดีกับพนักงานด้วย -X- _ O
ยิ้มให้พนักงาน -X- _ O
รับไหว้พนักงาน -X- _ O
แค่นี้ -X- _ O
น้องน้องเค้าก็บริการเต็มที่เลยครับ -X- _ B-Impressed_Pos
... -X- _ I-Impressed_Pos
ห้าดาวเอาไปเลย -X- _ I-Impressed_Pos

สุดยอดอาหารคะ -X- _ B-Food_Pos

ชอบสลัดบาร์ -X- _ O
ผักสด -X- _ B-Clean_Pos
และสะอาด -X- _ I-Clean_Pos
ครีมซุปก็อร่อยค่ะ -X- _ B-Food_Pos

ดีมากเลยค่ะ -X- _ B-Impressed_Pos
มีโปรโมชั่นคูปองส่วนลดทุกเดือนเลย -X- _ I-Impressed_Pos
ชอบจัง -X- _ I-Impressed_Pos

อร่อยสุดๆ..ยิ่งกินกับคนรู้ใจยิ่งอร่อยใช่เลย -X- _ B-Food_Pos

มาทานที่สาขาเซ็นทรัลเวทเกต -X- _ O
พนักงานน่ารักมากทุกคนเลยค่ะ -X- _ B-Service_Pos

วันนี้มาทาน -X- _ O
sizzler -X- _ O
สาขา -X- _ O
zpell -X- _ O
ขอชื่อชมพนักงานชื่อ -X- _ O
คุณไพโรจน์ -X- _ O
( -X- _ O
